;91;Jendouba/Bizerte/Tunis/Nabeul Reg group  ( 3V );3V ;;
;92;Sousse/Monastir/Mahdia Region group ( 3V );3V ;;
;93;Guinea-Bissau Coastal Region group  ( J5 );J5 ;;
;94;Mediterranean Sea Coast West group  ( 7X );7X ;;
;95;Cameroon group  ( TJ );TJ ;;
;96;Guinee-Maritime Province North group  ( 3X );3X ;;
;97;Mediterranean Sea Coast Centre group  ( 7X );7X ;;
;98;Sofala District group  ( C9 );C9 ;;
;99;Matruh Region group  ( SU );SU ;;
;100;Bas-Congo Province group  ( 9Q );9Q ;;
;101;Red Sea Coast North group  ( SU );SU ;;
;102P;Erongo/Hardap Region group  ( V5 );V5 ;;
;103;Zambezia District group  ( C9 );C9 ;;
;104;Mediterranean Sea Coast East group  ( 7X );7X ;;
;105P;Nyanga Province group  ( TR );TR ;;
;106P;Cote D'Ivoire group  ( TU );TU ;;
;107P;Cuanza Sul/Benguela Province group  ( D2 );D2 ;;
;108P;Namibe Province group  ( D2 );D2 ;;
;109;Nile Delta and Sinai Region group  ( SU );SU ;;
;110P;Red Sea Coast South group  ( SU );SU ;;
;111P;Liberia group  ( EL );EL ;;
;112P;Mediterranean Sea Coast Centre group  ( 5A );5A ;;
;113P;Mediterranean Sea Coast East group  ( 5A );5A ;;
;114P;Halaib Triangle group  ( ST );ST ;;
;115P;Red Sea State group  ( ST );ST ;;
;116P;Gulf of Aden West group  ( T5 );T5 ;;
;117P;Gulf of Aden East group  ( T5 );T5 ;;
;118P;Mediterranean Sea Coast group  ( CN );CN ;;
;119P;Coetivy Island  ( S7 );S7 ;;
AN;;ANTARCTICA ;;;
;1;Graham Land West (Adelaide Island) g.  ( );;;
;2;Bouvet Island  ( 3Y );3Y ;;2
;3;Heard Island  ( VK0 );VK0 ;;2
;4;Peter 1 Island  ( 3Y );3Y ;;2
;5;Macquarie Island  ( VK0 );VK0 ;;2
;6;Graham Land West (Biscoe Islands) group  ( );;;
;7;South Georgia Island  ( VP8 );VP8 ;;2
;8;South Orkney Islands  ( );;;
;9;South Sandwich Islands  ( VP8 );VP8 ;;2
;10;South Shetland Islands  ( );;;
;11;Ross Island group  ( );;;
;12;Graham Land West (Palmer Archip) group  ( );;;
;13;Trinity Peninsula group  ( );;;
;14;Berkner Island  ( );;;
;15;Queen Maud Land (Prince Harald etc) g.  ( );;;
;16;Antarctica (Main Island Only)  ( );;;
;17;Adelie Land group  ( );;;
;18;Palmer Land West (Alexander Island) g.  ( );;;
;019P;Balleny Islands  ( );;;
;020P;Scott Island  ( );;;
;021P;Shag Rocks, South Georgia Island  ( VP8 );VP8 ;;2
AS;;ASIA ;;;
;1;Andaman Islands  ( VU );VU ;;
;2;Bahrain Island  ( A9 );A9 ;;2
;3;Sri Lanka Island (Main Island Only)  ( 4S );4S ;;2
;4;Cyprus Island (Main Island Only)  ( 5B, ZC );5B, ZC ;;
;5;Kara Sea Coast West group  ( R0B );R0B ;;
;6;Hong Kong group  ( VR2 );VR2 ;;2
;7;Honshu Island (Main Island Only)  ( JA* );JA* ;;2
;8;North Izu Islands  ( JA1 );JA1 ;;2
;9;Red Sea Coast group  ( 7O );7O ;;
;10;Zufar Region group  ( A4 );A4 ;;
;11;Laccadive Islands  ( VU );VU ;;
;12;Kyushu's Coastal Islands  ( JA6 );JA6 ;;2
;13;Maldive Islands  ( 8Q );8Q ;1;
;14;Ash Sharqiyah/Al Wusta Region group  ( A4 );A4 ;;
;15;Pinang State group  ( 9M2 );9M2 ;;2
;16;Gulf Of Aden West group  ( 7O );7O ;;
;17;Okinawa Islands  ( JA6 );JA6 ;;2
;18;Sakhalin Island (Main Island Only)  ( R0F );R0F ;;
;19;Singapore Island  ( 9V );9V ;;2
;20;Taiwan Island (Main Island Only)  ( BV );BV ;;2
;21;Trucial Coast group  ( A6 );A6 ;;
;22;Medvezh'i (Bear) Islands  ( R0Q );R0Q ;;
;23;Amami Islands  ( JA6 );JA6 ;;2
;24;Yaeyama Islands  ( JA6 );JA6 ;;2
;25;Kuril'skiye (Kuril) Islands  ( R0F );R0F ;;
;26;Cheju-do Province (Cheju Island) group  ( HL4 );HL4 ;;
;27;Vrangelya (Wrangel) Island  ( R0K );R0K ;;
;28;Anzhu Islands  ( R0Q );R0Q ;;
;29;Lyakhovskiye Islands  ( R0Q );R0Q ;;
;30;Kazan (Volcano) Islands  ( JD );JD ;;2
;31;Chichi/Haha/Muko (Bonin) Islands  ( JD );JD ;;2
;32;Osumi Islands  ( JA6 );JA6 ;;2
;33;Nicobar Islands  ( VU );VU ;;
;36;Iki/Tsushima Islands  ( JA6 );JA6 ;;2
;37;Koshikijima Islands  ( JA6 );JA6 ;;2
;38;East Siberian Sea Coast group  ( R0K );R0K ;;
;39;Komandorskiye (Commander) Islands  ( R0Z );R0Z ;;
;40;Goto Islands  ( JA6 );JA6 ;;2
;41;Oki Islands  ( JA4 );JA4 ;;2
;42;Severnaya Zemlya (North Land)  ( R0B );R0B ;;
;43;South Izu Islands  ( JA1 );JA1 ;;2
;44;Sea of Okhotsk Coast Centre group  ( R0C );R0C ;;
;45;Kyongsang-bukto Prov (Ullung Island) g.  ( HL5 );HL5 ;;
;46;Pahang/Johor State East group  ( 9M2 );9M2 ;;2
;47;Daito Islands  ( JA6 );JA6 ;;2
;48;De Longa Islands  ( R0Q );R0Q ;;
;49;Tokara Islands  ( JA6 );JA6 ;;2
;50;Sergeya Kirova Islands  ( R0B );R0B ;;
;51;Spratly Islands  ( );;;
;53;Malay Peninsula West group  ( HS );HS ;;
;54;Laptev Sea Coast West group  ( R0B );R0B ;;
;55;Vize Island  ( R0B );R0B ;;
;56;Danjo Islands  ( JA6 );JA6 ;;2
;57;Uyedineniya Island  ( R0B );R0B ;;
;58;Perlis/Kedah State group  ( 9M2 );9M2 ;;2
;59;Sea of Okhotsk Coast group  ( R0I );R0I ;;
;60;Cholla-namdo Province group  ( HL4 );HL4 ;;
;61;Ratmanova (Big Diomede) Island  ( R0K );R0K ;;
;62;Habomai Islands  ( R0F );R0F ;;
;63;Laptev Sea Coast East group  ( R0B );R0B ;;
;64;Bering Sea Coast group  ( R0X );R0X ;;
;65;Chukchi Sea Coast East group  ( R0K );R0K ;;
;66;Sea of Japan Coast group  ( R0L );R0L ;;
;67;Uji & Kusagaki Islands  ( JA6 );JA6 ;;2
;68;Kara Sea Coast Centre group  ( R0B );R0B ;;
;69;Iony Island  ( R0C );R0C ;;
;70;East Siberian Sea Coast East group  ( R0Q );R0Q ;;
;71;Bering Sea Coast North group  ( R0K );R0K ;;
;72;Perak State group  ( 9M2 );9M2 ;;2
;73;Kelantan/Terengganu State group  ( 9M2 );9M2 ;;2
;74;Selangor/Negeri Sembilan State group  ( 9M2 );9M2 ;;2
;75;Macau group  ( XX );XX ;;2
;76;Shikoku Island  ( JA5 );JA5 ;;2
;77;Kyushu Island (Main Island Only)  ( JA6 );JA6 ;;2
;78;Hokkaido Island (Main Island Only)  ( JA8 );JA8 ;;2
;79;Miyako Islands  ( JA6 );JA6 ;;2
;80;Ch'ungch'ong-namdo Province group  ( HL3 );HL3 ;;
;81;Kyongsang-bukto/Kyongsang-namdo g.  ( HL5 );HL5 ;;
;82;Laptev Sea Coast Centre group  ( R0Q );R0Q ;;
;83;Kara Sea Coast East group  ( R9K );R9K ;;
;84;Cheju-do Province (Ch'uja Islands) group  ( HL4 );HL4 ;;
;85;Cholla-namdo Province (Soan Islands) g.  ( HL4 );HL4 ;;
;86;Izvestiy TS.I.K. Islands  ( R0B );R0B ;;
;87;Arkticheskogo Instituta Islands  ( R0B );R0B ;;
;88;Qatar group  ( A7 );A7 ;;
;89;Kara Sea Coast West group  ( R9K );R9K ;;
;90;Kyonggi-do Province (Tokchok Islands)  ( HL2 );HL2 ;;
;91;Sea of Okhotsk Coast group  ( R0X );R0X ;;
;92;Bering Sea Coast South group  ( R0K );R0K ;;
;93;Cholla-namdo Province (Huksan Islands)  ( HL4 );HL4 ;;
;94;Hainan Province (Hainan Island) group  ( BY7 );BY7 ;;
;95;Bering Sea Coast group  ( R0Z );R0Z ;;
;96;Karnataka State group  ( VU );VU ;;
;97;Melaka/Johor State West group  ( 9M2 );9M2 ;;2
;98;Aydin/Mugla Province group  ( TA );TA ;;
;99;Canakkale/Balikesir/Izmir Province group  ( TA );TA ;;
;100;Israel group  ( 4X );4X ;;
;101;Malay Peninsula East group  ( HS );HS ;;
;102;Kinmen (Quemoy) Island  ( BV );BV ;;2
;103;P'enghu (Pescadores) Islands  ( BV );BV ;;2
;104;Kara Sea Coast East group  ( R0B );R0B ;;
;105;Kyonggi-do Province group  ( HL2 );HL2 ;;
;106;Minicoy Island  ( VU );VU ;;
;107;Gulf of Thailand North group  ( HS );HS ;;
;108;Lebanon group  ( OD );OD ;;
;109;Obskaya Gulf group  ( R9K );R9K ;;
;110;Tungsha (Pratas) Island  ( BQ9 );BQ9 ;1;
;111;The Gulf group  ( HZ );HZ ;;
;112;Al Batinah/Masqat Region group  ( A4 );A4 ;;
;113;Matsu Islands  ( BV );BV ;;2
;114;Sea of Okhotsk Coast South group  ( R0C );R0C ;;
;115;Antalya Province group  ( TA );TA ;;
;116;Huang Yan Island (Scarborough Reef)  ( BS7 );BS7 ;1;
;117;Honshu's Coastal Islands  ( JA* );JA* ;;2
;118;Kuwait group  ( 9K );9K ;;
;119;Musandam Region group  ( A4 );A4 ;;
;120;Cyprus's Coastal Islands  ( 5B );5B ;;
;121;Nordenshel'da Archipelago  ( R0B );R0B ;;
;122;Kyonggi-do Province West group  ( HL2 );HL2 ;;
;123;Icel/Adana/Hatay Province group  ( TA );TA ;;
;124;Gulf of Oman group  ( A6 );A6 ;;
;125;Gulf of Thailand North East group  ( HS );HS ;;
;126;Malay Peninsula South West group  ( HS );HS ;;
;127;Chittagong Region group  ( S2 );S2 ;;
;128;Gulf of Thailand group  ( 3W );3W ;;
;129;Guangdong Province East group  ( BY7 );BY7 ;;
;130;South China Sea Coast South group  ( 3W );3W ;;
;131;Guangdong Province West group  ( BY7 );BY7 ;;
;132;Gulf of Tongking North group  ( 3W );3W ;;
;133;Cambodia group  ( XU );XU ;;
;134;Hebei/Tianjin Province group  ( BY3 );BY3 ;;
;135;Jiangsu Province group  ( BY4 );BY4 ;;
;136;Shanghai Province group  ( BY4 );BY4 ;;
;137;Zhejiang Province North group  ( BY5 );BY5 ;;
;138;Fujian Province group  ( BY5 );BY5 ;;
;139;Guangxi Autonomous Region group  ( BY7 );BY7 ;;
;140;Khulna/Barisal Region group  ( S2 );S2 ;;
;141;Zhejiang Province South group  ( BY5 );BY5 ;;
;142;Sea of Okhotsk Coast group  ( R0Z );R0Z ;;
;143;Hainan Province (Xisha Islands) group  ( BY7 );BY7 ;;
;144;Tenasserim Region South group  ( XZ );XZ ;;
;145;Malay Peninsula South East group  ( HS );HS ;;
;146;Shandong Province North East group  ( BY4 );BY4 ;;
;147;Hokkaido's Coastal Islands  ( JA8 );JA8 ;;2
;148;Cholla-bukto Province group  ( HL4 );HL4 ;;
;149;Sakhalin's Coastal Islands  ( R0F );R0F ;;
;150;Shandong Province South group  ( BY4 );BY4 ;;
;151;Liaoning Province West group  ( BY2 );BY2 ;;
;152;Laptev Sea Coast West group  ( R0Q );R0Q ;;
;153;West Bengal State group  ( VU );VU ;;
;154;Black Sea Coast East group  ( TA );TA ;;
;155;Taiwan's Coastal Islands  ( BV );BV ;;2
;156;Ushakova Island  ( R0B );R0B ;;
;157;South China Sea Coast Centre group  ( 3W );3W ;;
;158;Liaoning Province East group  ( BY2 );BY2 ;;
;159;Black Sea Coast West group  ( TA );TA ;;
;160;Shandong Province North West group  ( BY4 );BY4 ;;
;161;Kerala State group  ( VU );VU ;;
;162;South China Sea Coast North group  ( 3W );3W ;;
;163;Laptev Sea Coast East group  ( R0Q );R0Q ;;
;164;East Siberian Sea Coast West group  ( R0Q );R0Q ;;
;165;Arakan Region group  ( XZ );XZ ;;
;166;Hormozgan Province group  ( EP );EP ;;
;167;Irrawaddy/Yangon/Pegu Region group  ( XZ );XZ ;;
;168;Kangwon-do Province group  ( HL2 );HL2 ;;
;169;Maharashtra State group  ( VU );VU ;;
;170;Shelikhova Bay group  ( R0I );R0I ;;
;171;Sri Lanka's Coastal Islands  ( 4S );4S ;;2
;172;Sea of Okhotsk Coast North group  ( R0C );R0C ;;
;173;Tamil Nadu State group  ( VU );VU ;;
;174;Chukchi Sea Coast West group  ( R0K );R0K ;;
;175;Gujarat State West group  ( VU );VU ;;
;176P ;Gujarat State East group  ( VU );VU ;;
;177;Goa State group  ( VU );VU ;;
;178P ;Andhra Pradesh State North group  ( VU );VU ;;
;179P ;Orissa State group  ( VU );VU ;;
;180P ;Balochistan Province group  ( AP );AP ;;
;181P ;Sindh Province group  ( AP );AP ;;
;182P ;Mon Region group  ( XZ );XZ ;;
;183P ;Tenasserim Region North group  ( XZ );XZ ;;
;184P ;Preparis Channel group  ( XZ );XZ ;;
;185;Gulf of Tongking South group  ( 3W );3W ;;
;186;Syria group  ( YK );YK ;;
;187P ;Gulf of Aden East group  ( 7O );7O ;;
;188P ;Khuzestan Province group  ( EP );EP ;;
;189P ;Bushehr Province group  ( EP );EP ;;
;190;Red Sea Coast North (Tabuk Province) g.  ( HZ );HZ ;;
;191;Red Sea Coast Centre (Al Madinah etc) g.  ( HZ );HZ ;;
;192;Red Sea Coast South (Jizan Province) g.  ( HZ );HZ ;;
;193;Farasan Islands  ( HZ );HZ ;;
;194P ;Senkaku Islands  ( JA6 );JA6 ;;2
;195P ;P'yongan-Bukto/P'yongan-Namdo Prov g.  ( P5 );P5 ;;
;196P ;Nam'p'o-si/Hwanghae-Namdo Prov group  ( P5 );P5 ;;
;197P ;Hamgyong-Bukto/Hamgyong-Namdo Prov  ( P5 );P5 ;;
;198P ;Kangwon-Do Province group  ( P5 );P5 ;;
;199;Andhra Pradesh State South group  ( VU );VU ;;
;200;Shikoku’s Coastal Islands  ( JA5 );JA5 ;;2
;201;Sea of Marmara Islands  ( TA );TA ;;
;202P ;Hawar Islands  ( A9 );A9 ;;2
;203P ;Shelikhova Bay group  ( R0X );R0X ;;
EU;;EUROPE ;;;
;1;Dodecanese (Dodekanisos)  ( SV5 );SV5 ;1;
;2;Aland Islands  ( OH0 );OH0 ;1;
;3;Eastern group  ( CU1, 2 );CU1, 2 ;;2
;4;Balearic Islands  ( EA6 );EA6 ;;
;5;Great Britain (Main Island Only)  ( G, GM, GW);G, GM, GW;;
;6;Aran Islands  ( EI );EI ;;2
;7;Blasket Islands  ( EI );EI ;;2
;8;Inner Hebrides  ( GM, MM );GM, MM ;;2
;9;Orkney  ( GM, MM );GM, MM ;;2
;10;Outer Hebrides  ( GM, MM );GM, MM ;;2
;11;Isles of Scilly  ( G, M );G, M ;;
;12;Shetland  ( GM, MM );GM, MM ;;2
;13;Jersey  ( GJ, MJ );GJ, MJ ;;2
;14;Corsica (Corse) Island (Main Island Only)  ( TK );TK ;;2
;15;Crete (Kriti) Island (Main Island Only)  ( SV9 );SV9 ;;2
;16;Dalmatia South group  ( 9A );9A ;;
;17;Eolie (Lipari) Islands  ( I*9 );I*9 ;;2
;18;Faroe Islands  ( OY );OY ;1;
;19;Franz Josef Land  ( RI1FJ );RI1FJ ;;2
;20;Gotland County (Gotland Island) group  ( SM1 );SM1 ;1;
;21;Iceland (Main Island Only)  ( TF );TF ;;2
;22;Jan Mayen Island  ( JX );JX ;1;
;23;Malta group  ( 9H );9H ;1;
;24;Sardinia (Sardegna) (Main Island Only)  ( I*0 );I*0 ;;2
;25;Sicily (Sicilia) (Main Island Only)  ( I*9 );I*9 ;;2
;26;Spitsbergen Island (Main Island Only)  ( JW );JW ;;2
;27;Bear Island (Bjornoya)  ( JW );JW ;;2
;28;Toscana (Tuscany) Region group  ( I*5 );I*5 ;;2
;29;Sjaelland Archipelago  ( OZ );OZ ;;
;30;Bornholm Island  ( OZ );OZ ;;
;31;Campania Region group  ( I*8 );I*8 ;;2
;32;Poitou-Charentes Region group  ( F );F ;;
;33;Vesteralen Islands/Troms County S group  ( LA );LA ;;
;34;Hiiumaa/Saaremaa/Laanemaa County g.  ( ES0);ES0;;2
;35;Novaya Zemlya  ( R1O );R1O ;;
;36;Sor-Trondelag/More Og Romsdal Cty N g.  ( LA );LA ;;
;37;Kalmar County group  ( SM7 );SM7 ;;
;38;Noord Holland/Friesland/Groningen Pr g.  ( PA );PA ;;
;39;Chausey Islands  ( F );F ;;
;40;Estremadura Province group  ( CT );CT ;;
;41;Maddalena Archipelago  ( I*0 );I*0 ;;2
;42;Schleswig-Holstein State North West g.  ( DL );DL ;;
;43;Goteborg Och Bohus/Halland County g.  ( SM6 );SM6 ;;
;44;Finnmark County West group  ( LA );LA ;;
;45;Lazio Region group  ( I*0 );I*0 ;;2
;46;Troms County group  ( LA );LA ;;
;47;Niedersachsen State group  ( DL );DL ;;
;48;Bretagne (Morbihan) Region group  ( F );F ;;
;49;North Aegean Islands  ( SV );SV ;;
;50;Puglia (Foggia) Region group  ( I*7 );I*7 ;;2
;51;Ustica Island  ( I*9 );I*9 ;;2
;52;Ipeiros/Dytiki Ellas Region group  ( SV );SV ;;
;53;Market Reef  ( OJ0);OJ0;1;
;54;Egadi Islands  ( I*9 );I*9 ;;2
;55;Sogn og Fjordane etc County group  ( LA );LA ;;
;56;More Og Romsdal County Centre group  ( LA );LA ;;
;57;Mecklenburg-Vorpommern State group  ( DL );DL ;;
;58;Provence-Cote D'Azur (Alpes-Marit) g.  ( F );F ;;
;59;St Kilda  ( GM, MM );GM, MM ;;2
;60;Sterea Ellas Region group  ( SV );SV ;;
;61;Vest Agder To Ostfold County group  ( LA );LA ;;
;62;Nordland/Nord-Trondelag County group  ( LA );LA ;;
;63;Spitsbergen's Coastal Islands  ( JW );JW ;;2
;64;Pays De La Loire Region group  ( F );F ;;
;65;Bretagne (Finistere North West) Region g.  ( F );F ;;
;66;Solovetskiye Islands  ( R1O );R1O ;;
;67;Kyklades (Cyclades)  ( SV );SV ;;
;68;Bretagne (Finistere South West) Region g.  ( F );F ;;
;69;Columbretes Islands  ( EA5 );EA5 ;;
;70;Provence-Cote D'Azur (Var) Region group  ( F );F ;;
;71;Vestmannaeyjar (Westman Islands)  ( TF7 );TF7 ;;2
;72;Thessalia Region group  ( SV );SV ;;
;73;Puglia (Taranto) Region group  ( I*7 );I*7 ;;2
;74;Bretagne (Cotes-D'Armor Centre) Region  ( F );F ;;
;75;Peloponnisos (Argolis)/Attiki Region group  ( SV );SV ;;
;76;Lofoten Islands  ( LA );LA ;;
;77;La Coruna/Lugo Province group  ( EA1 );EA1 ;;
;78;Gerona Province group  ( EA3 );EA3 ;;
;79;More Og Romsdal County South group  ( LA );LA ;;
;80;Pontevedra Province group  ( EA1 );EA1 ;;
;81;Basse-Normandie (Manche East) Region  ( F );F ;;
;82;Barents Sea Coast West group  ( R1Z );R1Z ;;
;83;Liguria Region group  ( I*1 );I*1 ;;2
;84;Uppsala/Stockholm County group  ( SM5, 0 );SM5, 0 ;;
;85;Kolguev Island  ( R1P );R1P ;;
;86;Pechorskoye Sea Coast East group  ( R1P );R1P ;;
;87;Vasternorrland County group  ( SM3 );SM3 ;;
;88;Kattegat group  ( OZ );OZ ;;
;89;Western group  ( CU8, 9 );CU8, 9 ;;2
;90;Palagruza Island  ( 9A );9A ;;
;91;Puglia (Lecce/Brindisi/Bari) Region group  ( I*7 );I*7 ;;2
;92;Summer Isles  ( GM, MM );GM, MM ;;2
;93;Alicante/Murcia Province group  ( EA5 );EA5 ;;
;94;Bretagne (Finistere South) Region group  ( F );F ;;
;95;Provence-Cote D'Azur (B’ches-Du-Rhone)  ( F );F ;;
;96;Lansi-Suomi (Turku) Province group  ( OH1 );OH1 ;;
;97;Etela-Suomi (Uusimaa) Province group  ( OH2 );OH2 ;;
;99;Les Minquiers Islands  ( GJ, MJ );GJ, MJ ;;2
;100;Cerbicales Islands  ( TK );TK ;;2
;101;Lansi-Suomi (Vaasa) Province group  ( OH6 );OH6 ;;
;102;Pechorskoye Sea Coast Centre group  ( R1P );R1P ;;
;103;Saltee Islands  ( EI );EI ;;2
;104;Sanguinaires Islands  ( TK );TK ;;2
;105;Bretagne (Finistere North) Region group  ( F );F ;;
;106;St Tudwal's Islands  ( GW, MW );GW, MW ;;2
;107;Bretagne (Cotes-D'Armor West) Region g.  ( F );F ;;
;108;Treshnish Isles  ( GM, MM );GM, MM ;;2
;109;Farne Islands  ( G, M );G, M ;;
;110;Istra group  ( 9A );9A ;;
;111;Monach Islands  ( GM, MM );GM, MM ;;2
;112;Shiant Islands  ( GM, MM );GM, MM ;;2
;113;Peloponnisos (Lakonia)/Kythira Region g.  ( SV );SV ;;
;114;Guernsey group  ( GU, MU );GU, MU ;1;
;115; Ireland  ( EI, GI, MI);EI, GI, MI;;2
;116;Isle of Man  ( GD, MD );GD, MD ;1;
;117;Gulf of Finland North group  ( R1A-C );R1A-C ;;
;118;Flannan Isles  ( GM, MM );GM, MM ;;2
;119;White Sea Coast East group  ( R1O );R1O ;;
;120;English Coastal Islands  ( G, M );G, M ;;
;121;Irish Coastal Islands  ( EI );EI ;;2
;122;Northern Irish Coastal Islands  ( GI, MI );GI, MI ;1;
;123;Scottish Coastal Islands  ( GM, MM );GM, MM ;;2
;124;Welsh Coastal Islands  ( GW, MW );GW, MW ;;2
;125;Jylland West group  ( OZ );OZ ;;
;126;Lappi Province group  ( OH9 );OH9 ;;
;127;Schleswig-Holstein State South West g.  ( DL );DL ;;
;128;Schleswig-Holstein State East group  ( DL );DL ;;
;129;Usedom (Uznam) Island  ( DL, SP1 );DL, SP1 ;;
;130;Friuli-Venezia Giulia Region group  ( I*3 );I*3 ;;2
;131;Veneto Region group  ( I*3 );I*3 ;;2
;132;Szczecin/Koszalin Province group  ( SP1 );SP1 ;;
;133;Gulf of Finland South group  ( R1A-C );R1A-C ;;
;134;Bilbao/San Sebastian (Basque) Prov g.  ( EA2 );EA2 ;;
;135;Vasterbotten County group  ( SM2 );SM2 ;;
;136;Kvarner group  ( 9A );9A ;;
;137;Skane County group  ( SM7 );SM7 ;;
;138;Blekinge County group  ( SM7 );SM7 ;;
;139;Norrbotten County group  ( SM2 );SM2 ;;
;140;Etela-Suomi (Kymi) Province group  ( OH5 );OH5 ;;
;141;Finnmark County East group  ( LA );LA ;;
;142;Oviedo/Santander Province group  ( EA1 );EA1 ;;
;143;Cadiz/Huelva Province group  ( EA7 );EA7 ;;
;144;Calabria/Basilicata Region group  ( I*8 );I*8 ;;2
;145;Algarve Province group  ( CT );CT ;;
;146;Zuid Holland/Zeeland Province group  ( PA );PA ;;
;147;White Sea Coast group  ( R1N );R1N ;;
;148;Languedoc-Roussillon Region group  ( F );F ;;
;149;Tallinn & Harjumaa/Virumaa County g.  ( ES1, 2, 4 );ES1, 2, 4 ;;
;150;Minho/Douro Lit/Beira Litoral Province g.  ( CT );CT ;;
;151;Castellon/Valencia Province group  ( EA5 );EA5 ;;
